Wavelength (um),n                         
1.89107,1.43933
1.89251,1.43931
1.89394,1.43929
1.89538,1.43927
1.896098277,1.439259119
1.89681,1.43925
1.89825,1.43924
1.8997,1.43922
1.90114,1.4392
1.90259,1.43918
1.90404,1.43916
1.90549,1.43915
1.90694,1.43913
1.9084,1.43911
1.90985,1.43909
1.91131,1.43907
1.91278,1.43906
1.91424,1.43904
1.91571,1.43902
1.91718,1.439
1.91865,1.43898
1.92012,1.43896
1.9216,1.43894
1.921643868,1.438939613
1.92308,1.43893
1.92456,1.43891
1.92604,1.43889
1.92753,1.43887
1.92901,1.43885
1.9305,1.43883
1.93199,1.43881
1.93349,1.43879
1.93498,1.43877
1.93648,1.43875
1.93798,1.43874
1.93949,1.43872
1.94099,1.4387
1.9425,1.43868
1.94401,1.43866
1.94553,1.43864
1.94704,1.43862
1.947189459,1.438618028
1.94856,1.4386
1.95008,1.43858
1.9516,1.43856
1.95313,1.43854
1.95465,1.43852
1.95618,1.4385
1.95771,1.43848
1.95925,1.43846
1.96078,1.43844
1.96232,1.43842
1.96386,1.4384
1.96541,1.43838
1.96696,1.43836
1.9685,1.43834
1.97006,1.43832
1.97161,1.4383
1.97273505,1.438285474
1.97316,1.43828
1.97472,1.43826
1.97628,1.43824
1.97785,1.43822
1.97941,1.4382
1.98098,1.43818
1.98255,1.43816
1.98413,1.43814
1.9857,1.43812
1.98728,1.4381
1.98886,1.43808
1.99045,1.43806
1.99203,1.43803
1.99362,1.43801
1.99521,1.43799
1.99681,1.43797
1.998280641,1.437951498
1.9984,1.43795
2,1.43793
2.0016,1.43791
2.00321,1.43789
2.00481,1.43787
2.00642,1.43784
2.00803,1.43782
2.00965,1.4378
2.01126,1.43778
2.01288,1.43776
2.0145,1.43774
2.01613,1.43771
2.01776,1.43769
2.01939,1.43767
2.02102,1.43765
2.02265,1.43763
2.023826232,1.43760795
2.02429,1.4376
2.02593,1.43758
2.02758,1.43756
2.02922,1.43754
2.03087,1.43752
2.03252,1.43749
2.03417,1.43747
2.03583,1.43745
2.03749,1.43743
2.03915,1.4374
2.04082,1.43738
2.04248,1.43736
2.04415,1.43734
2.04583,1.43731
2.0475,1.43729
2.04918,1.43727
2.049371824,1.437267762
2.05086,1.43725
2.05255,1.43722
2.05423,1.4372
2.05592,1.43718
2.05761,1.43715
2.05931,1.43713
2.06101,1.43711
2.06271,1.43708
2.06441,1.43706
2.06612,1.43704
2.06782,1.43701
2.06954,1.43699
2.07125,1.43697
2.07297,1.43694
2.07469,1.43692
2.074917415,1.436916539
2.07641,1.43689
2.07814,1.43687
2.07987,1.43685
2.0816,1.43682
2.08333,1.4368
2.08507,1.43677
2.08681,1.43675
2.08855,1.43673
2.0903,1.4367
2.09205,1.43668
2.0938,1.43665
2.09556,1.43663
2.09732,1.4366
2.09908,1.43658
2.100463006,1.436555839
2.10084,1.43655
2.10261,1.43653
2.10438,1.4365
2.10615,1.43648
2.10793,1.43645
2.1097,1.43643
2.11149,1.4364
2.11327,1.43638
2.11506,1.43635
2.11685,1.43633
2.11864,1.4363
2.12044,1.43628
2.12224,1.43625
2.12404,1.43623
2.12585,1.4362
2.126008597,1.436197329
2.12766,1.43617
2.12947,1.43615
2.13129,1.43612
2.13311,1.4361
2.13493,1.43607
2.13675,1.43604
2.13858,1.43602
2.14041,1.43599
2.14225,1.43597
2.14408,1.43594
2.14592,1.43591
2.14777,1.43589
2.14961,1.43586
2.15146,1.43583
2.151554188,1.435828812
2.15332,1.43581
2.15517,1.43578
2.15703,1.43575
2.15889,1.43573
2.16076,1.4357
2.16263,1.43567
2.1645,1.43564
2.16638,1.43562
2.16826,1.43559
2.17014,1.43556
2.17202,1.43553
2.17391,1.43551
2.17581,1.43548
2.17709978,1.435459521
2.1777,1.43545
2.1796,1.43542
2.1815,1.4354
2.18341,1.43537
2.18531,1.43534
2.18723,1.43531
2.18914,1.43528
2.19106,1.43525
2.19298,1.43523
2.19491,1.4352
2.19684,1.43517
2.19877,1.43514
2.2007,1.43511
2.20264,1.43508
2.202645371,1.435079917
2.20459,1.43505
2.20653,1.43503
2.228190962,1.434699532
2.253736553,1.434318632
2.279282144,1.433923935
