Wavelength (um),k
1.66556,0.00002
1.666187956,0.00002
1.66667,0.00002
1.66778,0.00002
1.66889,0.00002
1.67001,0.00002
1.67112,0.00002
1.67224,0.00002
1.67336,0.00002
1.67448,0.00002
1.6756,0.00002
1.67673,0.00002
1.67785,0.00002
1.67898,0.00002
1.68011,0.00002
1.68124,0.00002
1.68237,0.00002
1.6835,0.00002
1.68464,0.00002
1.68577,0.00002
1.68691,0.00002
1.68805,0.00002
1.68919,0.00002
1.69033,0.00002
1.69147,0.00002
1.691733547,0.00002
1.69262,0.00002
1.69377,0.00002
1.69492,0.00002
1.69607,0.00002
1.69722,0.00002
1.69837,0.00002
1.69952,0.00002
1.70068,0.00002
1.70184,0.00002
1.703,0.00002
1.70416,0.00002
1.70532,0.00002
1.70648,0.00002
1.70765,0.00002
1.70882,0.00002
1.70999,0.00002
1.71116,0.00002
1.71233,0.00002
1.7135,0.00002
1.71468,0.00002
1.71585,0.00002
1.71703,0.00002
1.717279138,0.00002
1.71821,0.00002
1.71939,0.00002
1.72058,0.00002
1.72176,0.00002
1.72295,0.00002
1.72414,0.00002
1.72533,0.00002
1.72652,0.00002
1.72771,0.00002
1.72891,0.00002
1.7301,0.00002
1.7313,0.00002
1.7325,0.00002
1.7337,0.00002
1.73491,0.00003
1.73611,0.00003
1.73732,0.00003
1.73853,0.00003
1.73974,0.00003
1.74095,0.00003
1.74216,0.00003
1.742824729,0.00003
1.74338,0.00003
1.74459,0.00003
1.74581,0.00003
1.74703,0.00003
1.74825,0.00003
1.74948,0.00003
1.7507,0.00003
1.75193,0.00003
1.75316,0.00003
1.75439,0.00003
1.75562,0.00003
1.75685,0.00003
1.75809,0.00003
1.75932,0.00003
1.76056,0.00003
1.7618,0.00003
1.76305,0.00003
1.76429,0.00003
1.76554,0.00003
1.76678,0.00003
1.76803,0.00003
1.768370321,0.00003
1.76929,0.00003
1.77054,0.00003
1.77179,0.00003
1.77305,0.00003
1.77431,0.00003
1.77557,0.00003
1.77683,0.00003
1.77809,0.00003
1.77936,0.00003
1.78063,0.00003
1.7819,0.00003
1.78317,0.00003
1.78444,0.00003
1.78571,0.00003
1.78699,0.00003
1.78827,0.00003
1.78955,0.00003
1.79083,0.00003
1.79211,0.00003
1.7934,0.00003
1.793915912,0.00003
1.79469,0.00003
1.79598,0.00003
1.79727,0.00003
1.79856,0.00003
1.79986,0.00003
1.80115,0.00003
1.80245,0.00003
1.80375,0.00003
1.80505,0.00003
1.80636,0.00003
1.80766,0.00003
1.80897,0.00003
1.81028,0.00003
1.81159,0.00003
1.81291,0.00003
1.81422,0.00003
1.81554,0.00003
1.81686,0.00003
1.81818,0.00003
1.819461503,0.00003
1.81951,0.00003
1.82083,0.00003
1.82216,0.00003
1.82349,0.00003
1.82482,0.00003
1.82615,0.00003
1.82749,0.00003
1.82882,0.00003
1.83016,0.00003
1.8315,0.00003
1.83284,0.00003
1.83419,0.00003
1.83554,0.00003
1.83688,0.00003
1.83824,0.00003
1.83959,0.00003
1.84094,0.00003
1.8423,0.00003
1.84366,0.00003
1.845007094,0.00003
1.84502,0.00003
1.84638,0.00003
1.84775,0.00003
1.84911,0.00003
1.85048,0.00003
1.85185,0.00003
1.85322,0.00003
1.8546,0.00003
1.85598,0.00003
1.85736,0.00003
1.85874,0.00003
1.86012,0.00003
1.8615,0.00003
1.86289,0.00003
1.86428,0.00003
1.86567,0.00003
1.86706,0.00003
1.86846,0.00003
1.86986,0.00003
1.870552685,0.00003
1.87126,0.00003
1.87266,0.00003
1.87406,0.00003
1.87547,0.00003
1.87688,0.00003
1.87829,0.00003
1.8797,0.00003
1.88111,0.00003
1.88253,0.00003
1.88395,0.00003
1.88537,0.00003
1.88679,0.00003
1.88822,0.00003
1.88964,0.00003
1.89107,0.00003
1.89251,0.00003
1.89394,0.00003
1.89538,0.00003
1.896098277,0.00003
1.89681,0.00003
1.89825,0.00003
1.8997,0.00003
1.90114,0.00003
1.90259,0.00003
1.90404,0.00003
1.90549,0.00003
1.90694,0.00003
1.9084,0.00003
1.90985,0.00003
1.91131,0.00003
1.91278,0.00003
1.91424,0.00003
1.91571,0.00003
1.91718,0.00003
1.91865,0.00003
1.92012,0.00003
1.9216,0.00003
1.921643868,0.00003
1.92308,0.00003
1.92456,0.00003
1.92604,0.00003
1.92753,0.00003
1.92901,0.00003
1.9305,0.00003
1.93498,0.00003
1.93648,0.00004
1.947189459,0.00004
1.97273505,0.00004
1.998280641,0.00004
2.023826232,0.00004
2.049371824,0.00004
2.074917415,0.00004
2.100463006,0.00004
2.10084,0.00004
2.10261,0.00005
2.126008597,0.00005
2.151554188,0.00005
2.17709978,0.00005
2.202645371,0.00005
2.228190962,0.00005
2.24215,0.00005
2.24417,0.00006
2.253736553,0.00006
2.279282144,0.00006
2.304827735,0.00006
2.330373327,0.00006
2.355918918,0.00006
2.36742,0.00006
2.36967,0.00007
2.381464509,0.00007
2.4070101,0.00007
2.432555691,0.00007
2.458101283,0.00007
2.4777,0.00007
2.48016,0.00008
2.483646874,0.00008
2.509192465,0.00008
2.534738056,0.00008
2.560283647,0.00008
2.57998,0.00008
2.58264,0.00009
2.585829238,0.00009
2.61137483,0.00009
2.636920421,0.00009
2.662466012,0.00009
2.6738,0.00009
2.67666,0.0001
2.688011603,0.0001
2.713557194,0.0001
2.739102786,0.0001
2.76243,0.0001
2.764648377,0.000108147
2.76549,0.00011
2.790193968,0.00011
2.815739559,0.00011
2.84091,0.00011
2.84128515,0.000110373
2.84414,0.00012
2.866830741,0.00012
2.892376333,0.00012
2.91715,0.00012
2.917921924,0.000121305
2.92056,0.00013
2.943467515,0.00013
2.969013106,0.00013
2.99043,0.00013
2.99401,0.00014
2.994558697,0.00014
3.020104289,0.00014
3.04564988,0.00014
3.05998,0.00014
3.06373,0.00015
3.071195471,0.00015
3.096741062,0.00015
3.122286653,0.00015
3.125,0.00015
3.12891,0.00016
3.147832244,0.00016
3.173377836,0.00016
3.18471,0.00016
3.18878,0.00017
3.198923427,0.00017
3.224469018,0.00017
3.24254,0.00017
3.24675,0.00018
3.250014609,0.00018
3.2755602,0.00018
3.301105792,0.00018
3.30251,0.00018
3.30688,0.00019
3.326651383,0.00019
3.352196974,0.00019
3.3557,0.00019
3.36022,0.0002
3.377742565,0.0002
3.403288156,0.0002
3.40599,0.0002
3.41064,0.00021
3.428833747,0.00021
3.454379339,0.00021
3.45781,0.00021
3.4626,0.00022
3.47992493,0.00022
3.505470521,0.00022
3.50631,0.00022
3.51124,0.00023
3.531016112,0.00023
3.55619,0.00023
3.556561703,0.000230154
3.56125,0.00024
3.582107295,0.00024
3.60231,0.00024
3.6075,0.00025
3.607652886,0.00025
3.633198477,0.00025
3.64431,0.00025
3.64964,0.00026
3.658744068,0.00026
3.684289659,0.00026
3.68732,0.00026
3.69276,0.00027
3.709835251,0.00027
3.73134,0.00027
3.735380842,0.000278137
3.73692,0.00028
3.760926433,0.00028
3.77074,0.00028
3.77644,0.00029
3.786472024,0.00029
3.81098,0.00029
3.812017615,0.000290843
3.81679,0.0003
3.837563206,0.0003
3.84615,0.0003
3.85208,0.00031
3.863108798,0.00031
3.88802,0.00031
3.888654389,0.000310306
3.89408,0.00032
3.91419998,0.00032
3.92465,0.00032
3.93082,0.00033
3.939745571,0.00033
3.9557,0.00033
3.96197,0.00034
3.965291162,0.00034
3.990836754,0.00034
3.99361,0.00034
4,0.00035
4.016382345,0.00035
4.02576,0.00035
4.03226,0.00036
4.041927936,0.00036
4.05844,0.00036
4.06504,0.00037
4.067473527,0.00037
4.09165,0.00037
4.093019118,0.000371079
4.09836,0.00038
4.118564709,0.00038
4.12541,0.00038
4.13223,0.00039
4.144110301,0.00039
4.15973,0.00039
4.16667,0.0004
4.169655892,0.0004
4.1876,0.0004
4.19463,0.00041
4.195201483,0.00041
4.21585,0.00041
4.220747074,0.000417684
4.22297,0.00042
4.24448,0.00042
4.246292665,0.000421574
4.2517,0.00043
4.271838257,0.00043
4.2735,0.00043
4.28082,0.00044
4.297383848,0.00044
4.30293,0.00044
4.31034,0.00045
4.322929439,0.00045
4.33276,0.00045
4.34028,0.00046
4.34847503,0.00046
4.3554,0.00046
4.363,0.00047
4.374020621,0.00047
4.38596,0.00047
4.39367,0.00048
4.399566212,0.00048
4.40917,0.00048
4.41696,0.00049
4.425111804,0.00049
4.4405,0.00049
4.4484,0.0005
4.450657395,0.0005
4.46429,0.0005
4.47227,0.00051
4.476202986,0.00051
4.48833,0.00051
4.4964,0.00052
4.501748577,0.00052
4.51264,0.00052
4.5208,0.00053
4.527294168,0.00053
4.53721,0.00053
4.54545,0.00054
4.55283976,0.00054
4.56204,0.00054
4.57038,0.00055
4.578385351,0.00055
4.58716,0.00055
4.59559,0.00056
4.603930942,0.00056
4.60405,0.00056
4.61255,0.00057
4.629476533,0.00057
4.62963,0.00057
4.63822,0.00058
4.655022124,0.00058
4.65549,0.00058
4.66418,0.00059
4.6729,0.00059
4.680567715,0.000599579
4.68165,0.0006
4.69925,0.0006
4.706113307,0.000608714
4.7081,0.00061
4.71698,0.00061
4.7259,0.00062
4.731658898,0.00062
4.74383,0.00062
4.75285,0.00063
4.757204489,0.00063
4.7619,0.00063
4.77099,0.00064
4.78011,0.00064
4.78275008,0.000642013
4.78927,0.00065
4.79846,0.00065
4.80769,0.00066
4.808295671,0.00066
4.81696,0.00066
4.82625,0.00067
4.833841263,0.00067
4.84496,0.00067
4.85437,0.00068
4.859386854,0.00068
4.86381,0.00068
4.87329,0.00069
4.88281,0.00069
4.884932445,0.00069126
4.89237,0.0007
4.90196,0.0007
4.910478036,0.000709631
4.91159,0.00071
4.92126,0.00071
4.936023627,0.000726486
4.94071,0.00073
4.9505,0.00073
4.96032,0.00074
4.961569218,0.00074
4.97018,0.00074
4.98008,0.00075
4.98711481,0.00075
4.99002,0.00075
5,0.00076
5.01002,0.00076
5.012660401,0.000761198
5.03018,0.00078
5.038205992,0.00078
5.04032,0.00078
5.05051,0.00079
5.06073,0.00079
5.063751583,0.000791481
5.0813,0.00081
5.089297174,0.00081
5.09165,0.00081
5.10204,0.00082
5.11247,0.00082
5.114842766,0.00082091
5.13347,0.00084
5.140388357,0.00084
5.14403,0.00084
5.16529,0.00086
5.165933948,0.00086
5.17598,0.00086
5.191479539,0.000874416
5.20833,0.00089
5.21702513,0.00089
5.21921,0.00089
5.24109,0.00091
5.242570721,0.00091
5.2521,0.00091
5.268116313,0.00092447
5.293661904,0.000948798
5.29661,0.00095
5.30786,0.00095
5.319207495,0.000960051
5.344753086,0.000982987
5.35332,0.00099
5.36481,0.00099
5.370298677,0.000993457
5.395844269,0.001016804
5.42138986,0.001038639
5.446935451,0.001060266
5.472481042,0.001081688
5.498026633,0.001102911
