wavelength(m),n
1.79986E-06,1.61819
1.80115E-06,1.61817
1.80245E-06,1.61815
1.80375E-06,1.61813
1.80505E-06,1.61812
1.80636E-06,1.6181
1.80766E-06,1.61808
1.80897E-06,1.61806
1.81028E-06,1.61804
1.81159E-06,1.61802
1.81291E-06,1.618
1.81422E-06,1.61799
1.81554E-06,1.61797
1.81686E-06,1.61795
1.81818E-06,1.61793
1.81951E-06,1.61791
1.82039E-06,1.617896653
1.82083E-06,1.61789
1.82216E-06,1.61787
1.82349E-06,1.61785
1.82482E-06,1.61783
1.82615E-06,1.61782
1.82749E-06,1.6178
1.82882E-06,1.61778
1.83016E-06,1.61776
1.8315E-06,1.61774
1.83284E-06,1.61772
1.83419E-06,1.6177
1.83554E-06,1.61768
1.83688E-06,1.61766
1.83824E-06,1.61764
1.83959E-06,1.61762
1.84094E-06,1.6176
1.8423E-06,1.61758
1.84366E-06,1.61756
1.84502E-06,1.61754
1.84593E-06,1.617526544
1.84638E-06,1.61752
1.84775E-06,1.6175
1.84911E-06,1.61748
1.85048E-06,1.61746
1.85185E-06,1.61745
1.85322E-06,1.61743
1.8546E-06,1.61741
1.85598E-06,1.61739
1.85736E-06,1.61737
1.85874E-06,1.61734
1.86012E-06,1.61732
1.8615E-06,1.6173
1.86289E-06,1.61728
1.86428E-06,1.61726
1.86567E-06,1.61724
1.86706E-06,1.61722
1.86846E-06,1.6172
1.86986E-06,1.61718
1.87126E-06,1.61716
1.87148E-06,1.617156887
1.87266E-06,1.61714
1.87406E-06,1.61712
1.87547E-06,1.6171
1.87688E-06,1.61708
1.87829E-06,1.61706
1.8797E-06,1.61704
1.88111E-06,1.61702
1.88253E-06,1.617
1.88395E-06,1.61697
1.88537E-06,1.61695
1.88679E-06,1.61693
1.88822E-06,1.61691
1.88964E-06,1.61689
1.89107E-06,1.61687
1.89251E-06,1.61685
1.89394E-06,1.61683
1.89538E-06,1.61681
1.89681E-06,1.61678
1.89702E-06,1.616776624
1.89825E-06,1.61676
1.8997E-06,1.61674
1.90114E-06,1.61672
1.90259E-06,1.6167
1.90404E-06,1.61668
1.90549E-06,1.61665
1.90694E-06,1.61663
1.9084E-06,1.61661
1.90985E-06,1.61659
1.91131E-06,1.61657
1.91278E-06,1.61655
1.91424E-06,1.61652
1.91571E-06,1.6165
1.91718E-06,1.61648
1.91865E-06,1.61646
1.92012E-06,1.61643
1.9216E-06,1.61641
1.92257E-06,1.616396955
1.92308E-06,1.61639
1.92456E-06,1.61637
1.92604E-06,1.61635
1.92753E-06,1.61632
1.92901E-06,1.6163
1.9305E-06,1.61628
1.93199E-06,1.61625
1.93349E-06,1.61623
1.93498E-06,1.61621
1.93648E-06,1.61619
1.93798E-06,1.61616
1.93949E-06,1.61614
1.94099E-06,1.61612
1.9425E-06,1.61609
1.94401E-06,1.61607
1.94553E-06,1.61605
1.94704E-06,1.61603
1.94811E-06,1.616008387
1.94856E-06,1.616
1.95008E-06,1.61598
1.9516E-06,1.61596
1.95313E-06,1.61593
1.95465E-06,1.61591
1.95618E-06,1.61589
1.95771E-06,1.61586
1.95925E-06,1.61584
1.96078E-06,1.61581
1.96232E-06,1.61579
1.96386E-06,1.61577
1.96541E-06,1.61574
1.96696E-06,1.61572
1.9685E-06,1.6157
1.97006E-06,1.61567
1.97161E-06,1.61565
1.97316E-06,1.61562
1.97365E-06,1.615613355
1.97472E-06,1.6156
1.97628E-06,1.61557
1.97785E-06,1.61555
1.97941E-06,1.61553
1.98098E-06,1.6155
1.98255E-06,1.61548
1.98413E-06,1.61545
1.9857E-06,1.61543
1.98728E-06,1.6154
1.98886E-06,1.61538
1.99045E-06,1.61535
1.99203E-06,1.61533
1.99362E-06,1.6153
1.99521E-06,1.61528
1.99681E-06,1.61525
1.9984E-06,1.61523
1.9992E-06,1.615215064
0.000002,1.6152
2.0016E-06,1.61518
2.00321E-06,1.61515
2.00481E-06,1.61513
2.00642E-06,1.6151
2.00803E-06,1.61508
2.00965E-06,1.61505
2.01126E-06,1.61503
2.01288E-06,1.615
2.0145E-06,1.61497
2.01613E-06,1.61495
2.01776E-06,1.61492
2.01939E-06,1.6149
2.02102E-06,1.61487
2.02265E-06,1.61484
2.02429E-06,1.61482
2.02474E-06,1.614812302
2.02593E-06,1.61479
2.02758E-06,1.61477
2.02922E-06,1.61474
2.03087E-06,1.61471
2.03252E-06,1.61469
2.03417E-06,1.61466
2.03583E-06,1.61463
2.03749E-06,1.61461
2.03915E-06,1.61458
2.04082E-06,1.61455
2.04248E-06,1.61453
2.04415E-06,1.6145
2.04583E-06,1.61447
2.0475E-06,1.61445
2.04918E-06,1.61442
2.05028E-06,1.614400277
2.05086E-06,1.61439
2.05255E-06,1.61436
2.05423E-06,1.61434
2.05592E-06,1.61431
2.05761E-06,1.61428
2.05931E-06,1.61425
2.06101E-06,1.61423
2.06271E-06,1.6142
2.06441E-06,1.61417
2.06612E-06,1.61414
2.06782E-06,1.61412
2.06954E-06,1.61409
2.07125E-06,1.61406
2.07297E-06,1.61403
2.07469E-06,1.614
2.07583E-06,1.613979261
2.07641E-06,1.61397
2.07814E-06,1.61395
2.07987E-06,1.61392
2.0816E-06,1.61389
2.08333E-06,1.61386
2.08507E-06,1.61383
2.08681E-06,1.6138
2.08855E-06,1.61377
2.0903E-06,1.61375
2.09205E-06,1.61372
2.0938E-06,1.61369
2.09556E-06,1.61366
2.09732E-06,1.61363
2.09908E-06,1.6136
2.10084E-06,1.61357
2.10137E-06,1.613560985
2.10261E-06,1.61354
2.10438E-06,1.61351
2.10615E-06,1.61348
2.10793E-06,1.61345
2.1097E-06,1.61342
2.11149E-06,1.61339
2.11327E-06,1.61336
2.11506E-06,1.61333
2.11685E-06,1.6133
2.11864E-06,1.61327
2.12044E-06,1.61324
2.12224E-06,1.61321
2.12404E-06,1.61318
2.12585E-06,1.61315
2.12691E-06,1.613132351
2.12766E-06,1.61312
2.12947E-06,1.61309
2.13129E-06,1.61306
2.13311E-06,1.61303
2.13493E-06,1.613
2.13675E-06,1.61297
2.13858E-06,1.61294
2.14041E-06,1.61291
2.14225E-06,1.61288
2.14408E-06,1.61285
2.14592E-06,1.61281
2.14777E-06,1.61278
2.14961E-06,1.61275
2.15146E-06,1.61272
2.15246E-06,1.612703897
2.15332E-06,1.61269
2.15517E-06,1.61266
2.15703E-06,1.61263
2.15889E-06,1.61259
2.16076E-06,1.61256
2.16263E-06,1.61253
2.1645E-06,1.6125
2.16638E-06,1.61247
2.16826E-06,1.61243
2.17014E-06,1.6124
2.17202E-06,1.61237
2.17391E-06,1.61234
2.17581E-06,1.6123
2.1777E-06,1.61227
2.178E-06,1.612265311
2.1796E-06,1.61224
2.1815E-06,1.6122
2.18341E-06,1.61217
2.18531E-06,1.61214
2.18723E-06,1.61211
2.18914E-06,1.61207
2.19106E-06,1.61204
2.19298E-06,1.61201
2.19491E-06,1.61197
2.19684E-06,1.61194
2.19877E-06,1.6119
2.2007E-06,1.61187
2.20264E-06,1.61184
2.20355E-06,1.611821517
2.20459E-06,1.6118
2.20653E-06,1.61177
2.20848E-06,1.61173
2.21043E-06,1.6117
2.21239E-06,1.61167
2.21435E-06,1.61163
2.21631E-06,1.6116
2.22909E-06,1.611371396
2.25463E-06,1.610914395
2.28018E-06,1.61045619
2.30572E-06,1.609990352
2.33126E-06,1.609515207
2.35681E-06,1.609040302
2.38235E-06,1.608554878
2.4079E-06,1.608070491
2.43344E-06,1.607574365
2.45898E-06,1.607074019
2.48453E-06,1.606569549
2.51007E-06,1.606059346
2.53561E-06,1.605537794
2.56116E-06,1.605016567
2.5867E-06,1.604484174
2.61224E-06,1.603951688
2.63779E-06,1.603405823
2.66333E-06,1.602860516
2.68888E-06,1.60230538
2.71442E-06,1.601750447
2.73996E-06,1.601178781
2.76551E-06,1.600609611
2.79105E-06,1.600029772
2.81659E-06,1.599451849
2.84214E-06,1.598863112
2.86768E-06,1.598264389
2.89323E-06,1.597667033
2.91877E-06,1.597062543
2.94431E-06,1.596447921
2.96986E-06,1.595822837
2.9954E-06,1.595198742
3.02094E-06,1.594569929
3.04649E-06,1.593932072
3.07203E-06,1.593289995
3.09757E-06,1.592637686
3.12312E-06,1.591978209
3.14866E-06,1.591318617
3.17421E-06,1.590646612
3.19975E-06,1.589963344
3.22529E-06,1.589283659
3.25084E-06,1.588593896
3.27638E-06,1.587904237
3.30192E-06,1.587196098
3.32747E-06,1.586488226
3.35301E-06,1.585778538
3.37856E-06,1.585055003
3.4041E-06,1.584322561
3.42964E-06,1.583591566
3.45519E-06,1.582846946
3.48073E-06,1.582104169
3.50627E-06,1.581351061
3.53182E-06,1.580587536
3.55736E-06,1.579815245
3.5829E-06,1.579040966
3.60845E-06,1.578260861
3.63399E-06,1.577471458
3.65954E-06,1.576674965
3.68508E-06,1.575870099
3.71062E-06,1.575063937
3.73617E-06,1.574244265
3.76171E-06,1.5734226
3.78725E-06,1.572590764
3.8128E-06,1.571750484
3.83834E-06,1.57090436
3.86389E-06,1.570053496
3.88943E-06,1.569192942
3.91497E-06,1.568330543
3.94052E-06,1.567450813
3.96606E-06,1.56657347
3.9916E-06,1.565681945
4.01715E-06,1.564786691
4.04269E-06,1.563882017
4.06824E-06,1.562974737
4.09378E-06,1.562054093
4.11932E-06,1.561124068
4.14487E-06,1.560190147
4.17041E-06,1.559249997
4.19595E-06,1.558301275
4.2215E-06,1.557345938
4.24704E-06,1.556380909
4.27258E-06,1.555405101
4.29813E-06,1.554428827
4.32367E-06,1.55344239
4.34922E-06,1.552445645
4.37476E-06,1.551438602
4.4003E-06,1.550424374
4.42585E-06,1.549406924
4.45139E-06,1.548376473
4.47693E-06,1.547338463
4.50248E-06,1.546292938
4.52802E-06,1.545240207
4.55357E-06,1.544176851
4.57911E-06,1.543105043
4.60465E-06,1.542024429
4.6302E-06,1.54093597
4.65574E-06,1.539839208
4.68128E-06,1.538735888
4.70683E-06,1.537626096
4.73237E-06,1.536500211
4.75791E-06,1.535370207
4.78346E-06,1.534229942
4.809E-06,1.533080455
4.83455E-06,1.531927325
4.86009E-06,1.530759997
4.88563E-06,1.529579891
4.91118E-06,1.528399282
4.93672E-06,1.527204306
4.96226E-06,1.525997178
4.98781E-06,1.524785103
5.01335E-06,1.523561194
5.0389E-06,1.522328711
5.06444E-06,1.521089011
5.08998E-06,1.519842142
5.11553E-06,1.518578113
5.14107E-06,1.517308612
5.16661E-06,1.516033572
5.19216E-06,1.514737642
5.2177E-06,1.513437622
5.24324E-06,1.512128885
5.26879E-06,1.510806233
5.29433E-06,1.509478396
5.31988E-06,1.508131923
5.34542E-06,1.506780987
5.37096E-06,1.505425439
5.39651E-06,1.504054054
5.42205E-06,1.502670652
5.44759E-06,1.501276699
5.47314E-06,1.499872634
5.49868E-06,1.498455603
5.52423E-06,1.497032122
5.54977E-06,1.49559529
5.57531E-06,1.494144804
5.60086E-06,1.492686775
5.6264E-06,1.491214476
5.65194E-06,1.489731828
5.67749E-06,1.488243186
5.70303E-06,1.486729689
5.72857E-06,1.485219706
5.75412E-06,1.483687916
5.77966E-06,1.482147207
5.80521E-06,1.480599011
5.83075E-06,1.47903045
5.85629E-06,1.477457931
5.88184E-06,1.475872056
5.90738E-06,1.474265951
5.93292E-06,1.472656903
5.95847E-06,1.471030843
5.98401E-06,1.46938778
6.00956E-06,1.46773421
6.0351E-06,1.466072352
6.06064E-06,1.464393804
6.08619E-06,1.462699569
6.11173E-06,1.460999465
6.13727E-06,1.459282076
6.16282E-06,1.45754936
6.18836E-06,1.455803389
6.2139E-06,1.454044563
6.23945E-06,1.452271024
6.26499E-06,1.450486995
6.29054E-06,1.448684487
6.31608E-06,1.446870034
6.34162E-06,1.445036666
6.36717E-06,1.443196078
6.39271E-06,1.441333975
6.41825E-06,1.439458748
6.4438E-06,1.437573105
6.46934E-06,1.435669366
6.49489E-06,1.433746039
6.52043E-06,1.431811632
6.54597E-06,1.429856939
6.57152E-06,1.427893542
6.59706E-06,1.425911361
6.6226E-06,1.423910178
6.64815E-06,1.421892979
6.67369E-06,1.419861279
6.69923E-06,1.417816012
6.72478E-06,1.415747455
6.75032E-06,1.413667844
6.77587E-06,1.411564332
6.80141E-06,1.409451703
6.82695E-06,1.407316546
6.8525E-06,1.405160497
6.87804E-06,1.402987377
6.90358E-06,1.400804891
6.92913E-06,1.398589986
6.95467E-06,1.396368325
6.98022E-06,1.394117704
7.00576E-06,1.391857487
7.0313E-06,1.389577033
7.05685E-06,1.387270735
7.08239E-06,1.384948091
7.10793E-06,1.382608374
7.13348E-06,1.380242608
7.15902E-06,1.377862631
7.18456E-06,1.375458142
7.21011E-06,1.373036224
7.23565E-06,1.370586065
7.2612E-06,1.368115665
7.28674E-06,1.365634832
7.31228E-06,1.363118696
7.33783E-06,1.360588958
7.36337E-06,1.358033753
7.38891E-06,1.355455126
7.41446E-06,1.352853496
7.44E-06,1.350229441
7.46555E-06,1.347572677
7.49109E-06,1.344903467
7.51663E-06,1.342203533
7.54218E-06,1.339484726
7.56772E-06,1.336739729
7.59326E-06,1.333971707
7.61881E-06,1.331166342
7.64435E-06,1.328350806
7.66989E-06,1.325497283
7.69544E-06,1.322625983
7.72098E-06,1.319717755
7.74653E-06,1.316791418
7.77207E-06,1.313829093
7.79761E-06,1.310841784
7.82316E-06,1.307831757
7.8487E-06,1.304787168
7.87424E-06,1.301713712
7.89979E-06,1.29861197
7.92533E-06,1.295478217
7.95088E-06,1.292319321
7.97642E-06,1.289122695
8.00196E-06,1.28589118
8.02751E-06,1.282639381
8.05305E-06,1.27935096
8.07859E-06,1.276024608
8.10414E-06,1.272667742
8.12968E-06,1.269274961
8.15523E-06,1.265852717
8.18077E-06,1.26239884
8.20631E-06,1.258900861
8.23186E-06,1.2553682
8.2574E-06,1.251809083
8.28294E-06,1.248199809
8.30849E-06,1.244553727
8.33403E-06,1.240878551
8.35957E-06,1.237157958
8.38512E-06,1.233402753
8.41066E-06,1.229605261
8.43621E-06,1.225765642
8.46175E-06,1.221884743
8.48729E-06,1.217963739
8.51284E-06,1.21399982
8.53838E-06,1.209991863
8.56392E-06,1.205946073
8.58947E-06,1.201848499
8.61501E-06,1.197707105
8.64056E-06,1.193516736
8.6661E-06,1.189285238
8.69164E-06,1.18500601
8.71719E-06,1.180671495
8.74273E-06,1.17628652
8.76827E-06,1.171857926
8.79382E-06,1.167380719
8.81936E-06,1.162848198
8.8449E-06,1.158261083
8.87045E-06,1.153621557
8.89599E-06,1.148929269
8.92154E-06,1.14418651
8.94708E-06,1.139381497
8.97262E-06,1.134520053
8.99817E-06,1.129603763
9.02371E-06,1.124625763
