wavelength(m),k
1.79986E-06,0.00013
1.80115E-06,0.00013
1.80245E-06,0.00013
1.80375E-06,0.00013
1.80505E-06,0.00013
1.80636E-06,0.00013
1.80766E-06,0.00013
1.80897E-06,0.00013
1.81028E-06,0.00014
1.81159E-06,0.00014
1.81291E-06,0.00014
1.81422E-06,0.00014
1.81554E-06,0.00014
1.81686E-06,0.00014
1.81818E-06,0.00014
1.81951E-06,0.00014
1.82039E-06,0.00014
1.82083E-06,0.00014
1.82216E-06,0.00014
1.82349E-06,0.00014
1.82482E-06,0.00014
1.84593E-06,0.00014
1.85185E-06,0.00014
1.85322E-06,0.00015
1.87148E-06,0.00015
1.89251E-06,0.00015
1.89394E-06,0.00016
1.89702E-06,0.00016
1.92257E-06,0.00016
1.9305E-06,0.00016
1.93199E-06,0.00017
1.94811E-06,0.00017
1.96696E-06,0.00017
1.9685E-06,0.00018
1.97365E-06,0.00018
1.9992E-06,0.00018
2.00321E-06,0.00018
2.00481E-06,0.00019
2.02474E-06,0.00019
2.03749E-06,0.00019
2.03915E-06,0.0002
2.05028E-06,0.0002
2.06954E-06,0.0002
2.07125E-06,0.00021
2.07583E-06,0.00021
2.10137E-06,0.00021
2.10261E-06,0.00021
2.10438E-06,0.00022
2.12691E-06,0.00022
2.13311E-06,0.00022
2.13493E-06,0.00023
2.15246E-06,0.00023
2.16263E-06,0.00023
2.1645E-06,0.00024
2.178E-06,0.00024
2.19106E-06,0.00024
2.19298E-06,0.00025
2.20355E-06,0.00025
2.22025E-06,0.00025
2.22222E-06,0.00026
2.22909E-06,0.00026
2.24618E-06,0.00026
2.2482E-06,0.00027
2.25463E-06,0.00027
2.27273E-06,0.00027
2.2748E-06,0.00028
2.28018E-06,0.00028
2.29991E-06,0.00028
2.30203E-06,0.00029
2.30572E-06,0.00029
2.32558E-06,0.00029
2.32775E-06,0.0003
2.33126E-06,0.0003
2.34962E-06,0.0003
2.35183E-06,0.00031
2.35681E-06,0.00031
2.37417E-06,0.00031
2.37643E-06,0.00032
2.38235E-06,0.00032
2.39693E-06,0.00032
2.39923E-06,0.00033
2.4079E-06,0.00033
2.42014E-06,0.00033
2.42248E-06,0.00034
2.43344E-06,0.00034
2.44379E-06,0.00034
2.44618E-06,0.00035
2.45898E-06,0.00035
2.46548E-06,0.00035
2.46792E-06,0.00036
2.48453E-06,0.00036
2.48756E-06,0.00036
2.49004E-06,0.00037
2.50752E-06,0.00037
2.51004E-06,0.00038
2.51007E-06,0.00038
2.52781E-06,0.00038
2.53036E-06,0.00039
2.53561E-06,0.00039
2.54842E-06,0.00039
2.55102E-06,0.0004
2.56116E-06,0.0004
2.56937E-06,0.0004
2.57202E-06,0.00041
2.5867E-06,0.00041
2.58799E-06,0.00041
2.59067E-06,0.00042
2.6096E-06,0.00042
2.61224E-06,0.000429971
2.61233E-06,0.00043
2.62881E-06,0.00043
2.63158E-06,0.00044
2.63779E-06,0.00044
2.6455E-06,0.00044
2.64831E-06,0.00045
2.66333E-06,0.00045
2.66525E-06,0.00045
2.66809E-06,0.00046
2.6824E-06,0.00046
2.68528E-06,0.00047
2.68888E-06,0.00047
2.69978E-06,0.00047
2.7027E-06,0.00048
2.71442E-06,0.00048
2.71739E-06,0.00048
2.72035E-06,0.00049
2.73523E-06,0.00049
2.73823E-06,0.0005
2.73996E-06,0.0005
2.7533E-06,0.0005
2.75634E-06,0.00051
2.76551E-06,0.00051
2.76855E-06,0.00051
2.77162E-06,0.00052
2.78707E-06,0.00052
2.79018E-06,0.00053
2.79105E-06,0.00053
