wavelength,n
3.24073E-06,1.416139357
3.25388E-06,1.416039228
3.26704E-06,1.41593869
3.28019E-06,1.415837745
3.29334E-06,1.415736396
3.30649E-06,1.415634647
3.31964E-06,1.4155325
3.3328E-06,1.415429959
3.34595E-06,1.415327027
3.3495E-06,1.415299169
3.3591E-06,1.415223698
3.37225E-06,1.415119952
3.38541E-06,1.415015791
3.39856E-06,1.414911219
3.41171E-06,1.414806238
3.42486E-06,1.414700851
3.43801E-06,1.414595062
3.45117E-06,1.414488874
3.46432E-06,1.41438229
0.000003468,1.414352376
3.47747E-06,1.414275305
3.49062E-06,1.414167898
3.50377E-06,1.414060071
3.51693E-06,1.413951828
3.53008E-06,1.413843172
3.54323E-06,1.413734105
3.55638E-06,1.413624632
3.56953E-06,1.413514754
3.58269E-06,1.413404476
3.5865E-06,1.413372421
3.59584E-06,1.413293793
3.60899E-06,1.413182683
3.62214E-06,1.413071149
3.63529E-06,1.412959195
3.64845E-06,1.412846823
3.6616E-06,1.412734036
3.67475E-06,1.412620837
3.6879E-06,1.412507231
3.70105E-06,1.412393219
0.000003705,1.412358937
3.71421E-06,1.412278798
3.72736E-06,1.412163946
3.74051E-06,1.412048666
3.75366E-06,1.411932961
3.76681E-06,1.411816834
3.77997E-06,1.411700288
3.79312E-06,1.411583326
3.80627E-06,1.411465952
3.81942E-06,1.411348168
3.8235E-06,1.411311572
3.83257E-06,1.41122997
3.84573E-06,1.411111339
3.85888E-06,1.410992275
3.87203E-06,1.410872781
3.88518E-06,1.410752862
3.89834E-06,1.410632519
3.91149E-06,1.410511756
3.92464E-06,1.410390577
3.93779E-06,1.410268984
0.000003942,1.410229987
3.95094E-06,1.410146973
3.9641E-06,1.410024524
3.97725E-06,1.409901639
3.9904E-06,1.40977832
4.00355E-06,1.409654572
4.0167E-06,1.409530396
4.02986E-06,1.409405796
4.04301E-06,1.409280775
4.05616E-06,1.409155336
4.0605E-06,1.40911385
4.06931E-06,1.409029475
4.08246E-06,1.408903173
4.09562E-06,1.40877643
4.10877E-06,1.40864925
4.12192E-06,1.408521636
4.13507E-06,1.40839359
4.14822E-06,1.408265117
4.16138E-06,1.408136218
4.17453E-06,1.408006897
0.000004179,1.407962832
4.18768E-06,1.40787715
4.20083E-06,1.407746958
4.21398E-06,1.407616322
4.22714E-06,1.407485245
4.24029E-06,1.407353729
4.25344E-06,1.407221778
4.26659E-06,1.407089395
4.27974E-06,1.406956583
4.2929E-06,1.406823344
4.2975E-06,1.40677661
4.30605E-06,1.406689675
4.3192E-06,1.406555558
4.33235E-06,1.406420992
4.3455E-06,1.406285981
4.35866E-06,1.406150528
4.37181E-06,1.406014636
4.38496E-06,1.405878307
4.39811E-06,1.405741545
4.41127E-06,1.405604353
0.000004416,1.405554859
4.42442E-06,1.405466727
4.43757E-06,1.405328647
4.45072E-06,1.405190116
4.46387E-06,1.405051136
4.47703E-06,1.40491171
4.49018E-06,1.40477184
4.50333E-06,1.404631529
4.51648E-06,1.404490782
4.52963E-06,1.404349599
4.5345E-06,1.404297252
4.54279E-06,1.404207979
4.55594E-06,1.404065902
4.56909E-06,1.403923369
4.58224E-06,1.403780383
4.59539E-06,1.403636947
4.60855E-06,1.403493063
4.6217E-06,1.403348735
4.63485E-06,1.403203965
4.648E-06,1.403058755
0.000004653,1.403003462
4.66115E-06,1.402913105
4.67431E-06,1.402766993
4.68746E-06,1.402620422
4.70061E-06,1.402473393
4.71376E-06,1.40232591
4.72691E-06,1.402177976
4.74007E-06,1.402029593
4.75322E-06,1.401880763
4.76637E-06,1.401731491
4.7715E-06,1.401673155
4.77952E-06,1.401581772
4.79267E-06,1.401431589
4.80583E-06,1.401280942
4.81898E-06,1.401129834
4.83213E-06,1.400978267
4.84528E-06,1.400826244
4.85844E-06,1.400673769
4.87159E-06,1.400520842
4.88474E-06,1.400367468
0.00000489,1.400305994
4.89789E-06,1.400213644
4.91104E-06,1.400059352
4.9242E-06,1.399904591
4.93735E-06,1.399749365
4.9505E-06,1.399593677
4.96365E-06,1.399437528
4.9768E-06,1.399280921
4.98996E-06,1.39912386
5.00311E-06,1.398966347
5.0085E-06,1.398901636
5.01626E-06,1.398808379
5.02941E-06,1.398649938
5.04256E-06,1.398491026
5.05572E-06,1.398331643
5.06887E-06,1.398171794
5.08202E-06,1.39801148
5.09517E-06,1.397850704
5.10832E-06,1.397689469
5.12148E-06,1.397527777
0.000005127,1.39745973
5.13463E-06,1.397365626
5.14778E-06,1.397202998
5.16093E-06,1.397039894
5.17408E-06,1.396876316
5.18724E-06,1.396712266
5.20039E-06,1.396547747
5.21354E-06,1.396382762
5.22669E-06,1.396217313
5.23984E-06,1.396051402
5.2455E-06,1.395979919
5.253E-06,1.395885028
5.26615E-06,1.395718173
5.2793E-06,1.395550837
5.29245E-06,1.395383022
5.3056E-06,1.395214732
5.31876E-06,1.395045967
5.33191E-06,1.394876732
5.34506E-06,1.394707028
5.35821E-06,1.394536858
0.000005364,1.394461836
5.37137E-06,1.394366219
5.38452E-06,1.394195096
5.39767E-06,1.394023487
5.41082E-06,1.393851395
5.42397E-06,1.393678822
5.43713E-06,1.393505771
5.45028E-06,1.393332243
5.46343E-06,1.393158243
5.47658E-06,1.392983771
5.4825E-06,1.392905106
5.48973E-06,1.392808827
5.50289E-06,1.392633392
5.51604E-06,1.392457468
5.52919E-06,1.392281056
5.54234E-06,1.392104158
5.55549E-06,1.391926777
5.56865E-06,1.391748915
5.5818E-06,1.391570575
5.59495E-06,1.391391759
0.000005601,1.391309344
5.6081E-06,1.391212465
5.62125E-06,1.391032677
5.63441E-06,1.390852394
5.64756E-06,1.390671618
5.66071E-06,1.390490352
5.67386E-06,1.390308597
5.68701E-06,1.390126357
5.70017E-06,1.389943634
5.71332E-06,1.389760429
5.7195E-06,1.389674157
5.72647E-06,1.389576741
5.73962E-06,1.389392555
5.75277E-06,1.389207868
5.76593E-06,1.389022684
5.77908E-06,1.388837004
5.79223E-06,1.388650832
5.80538E-06,1.388464168
5.81853E-06,1.388277016
5.83169E-06,1.388089377
0.000005838,1.387999138
5.84484E-06,1.38790125
5.85799E-06,1.38771262
5.87114E-06,1.387523484
5.8843E-06,1.387333846
5.89745E-06,1.387143707
5.9106E-06,1.38695307
5.92375E-06,1.386761936
5.9369E-06,1.386570309
5.95006E-06,1.38637819
5.9565E-06,1.386283872
5.96321E-06,1.386185577
5.97636E-06,1.385992456
5.98951E-06,1.385798824
6.00266E-06,1.385604684
6.01582E-06,1.385410039
6.02897E-06,1.38521489
6.04212E-06,1.385019239
6.05527E-06,1.384823088
6.06842E-06,1.384626441
